feature,mean_abs_shap
income_mismatch,0.7836322912665462
is_in_syndicate,0.6793622713358326
total_received,0.5698436852066121
kyc_match_score,0.5018676539427468
total_sent,0.4122798119391403
io_ratio,0.4090201357090599
max_txn_amount,0.30877692575506366
account_age_days,0.30748659569675096
avg_txn_amount,0.246536601020156
pass_through_ratio,0.19162831785517986
device_shared_count,0.15572900051315575
unique_senders,0.14245276678221291
beneficiary_churn_rate,0.13898508737785625
dormancy_burst_score,0.1298091566989784
unique_receivers,0.07442900183125942
txn_count,0.06887214774361271
velocity_per_hour,0.036289372320159066
structuring_score,0.02966960666522642
